# Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1.000000000000000000e+00,5.146307468414306641e+00,1.261977076530456543e+00,8.287960290908813477e-01,6.875000000000000000e-01
2.000000000000000000e+00,1.933735758066177368e-01,8.250778913497924805e-01,9.190950989723205566e-01,6.875000000000000000e-01
3.000000000000000000e+00,1.030035093426704407e-01,7.011518478393554688e-01,9.612730145454406738e-01,8.750000000000000000e-01
4.000000000000000000e+00,7.268165796995162964e-02,3.965049386024475098e-01,9.731594920158386230e-01,8.125000000000000000e-01
5.000000000000000000e+00,5.888964235782623291e-02,1.396747231483459473e+00,9.771856069564819336e-01,6.875000000000000000e-01
6.000000000000000000e+00,5.184493586421012878e-02,9.925656318664550781e-01,9.815950989723205566e-01,8.125000000000000000e-01
7.000000000000000000e+00,5.221522599458694458e-02,4.028990864753723145e-01,9.800613522529602051e-01,8.750000000000000000e-01
8.000000000000000000e+00,3.932222351431846619e-02,5.349528789520263672e-01,9.854294657707214355e-01,8.125000000000000000e-01
9.000000000000000000e+00,2.322767488658428192e-02,3.111552238464355469e+00,9.915643930435180664e-01,6.250000000000000000e-01
1.000000000000000000e+01,2.647645398974418640e-02,1.232026696205139160e+00,9.900306463241577148e-01,8.125000000000000000e-01
1.100000000000000000e+01,1.782604306936264038e-02,3.096438944339752197e-01,9.940567612648010254e-01,9.375000000000000000e-01
1.200000000000000000e+01,1.857986114919185638e-02,2.590545177459716797e+00,9.946318864822387695e-01,7.500000000000000000e-01
