# Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1.000000000000000000e+00,1.256649792194366455e-01,4.798521995544433594e-01,9.530291557312011719e-01,7.500000000000000000e-01
2.000000000000000000e+00,6.399128586053848267e-02,4.566662311553955078e-01,9.754601120948791504e-01,8.125000000000000000e-01
3.000000000000000000e+00,5.812987685203552246e-02,6.884641051292419434e-01,9.779524803161621094e-01,6.875000000000000000e-01
4.000000000000000000e+00,4.083972051739692688e-02,9.426450729370117188e-01,9.846625924110412598e-01,6.875000000000000000e-01
5.000000000000000000e+00,3.477045893669128418e-02,3.560898005962371826e-01,9.865797758102416992e-01,8.750000000000000000e-01
6.000000000000000000e+00,2.887801267206668854e-02,4.147158265113830566e-01,9.909892678260803223e-01,8.750000000000000000e-01
7.000000000000000000e+00,2.671768702566623688e-02,4.249073266983032227e-01,9.907975196838378906e-01,8.750000000000000000e-01
8.000000000000000000e+00,2.238793112337589264e-02,1.473910063505172729e-01,9.917561411857604980e-01,8.750000000000000000e-01
9.000000000000000000e+00,1.628868654370307922e-02,4.619468152523040771e-01,9.940567612648010254e-01,8.750000000000000000e-01
1.000000000000000000e+01,1.335761323571205139e-02,5.961269736289978027e-01,9.959739446640014648e-01,8.750000000000000000e-01
1.100000000000000000e+01,1.628042384982109070e-02,8.641605973243713379e-01,9.940567612648010254e-01,8.125000000000000000e-01
1.200000000000000000e+01,1.277461368590593338e-02,6.025664210319519043e-01,9.952070713043212891e-01,8.750000000000000000e-01
