# Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1.000000000000000000e+00,2.584945559501647949e-01,7.705827057361602783e-02,9.094622135162353516e-01,9.741200804710388184e-01
2.000000000000000000e+00,1.664562523365020752e-01,6.797043979167938232e-02,9.453709721565246582e-01,9.782608747482299805e-01
3.000000000000000000e+00,1.217334270477294922e-01,5.132930725812911987e-02,9.581347703933715820e-01,9.824016690254211426e-01
4.000000000000000000e+00,1.148331239819526672e-01,1.366386860609054565e-01,9.627297520637512207e-01,9.699792861938476562e-01
5.000000000000000000e+00,1.142603904008865356e-01,4.908297583460807800e-02,9.664738178253173828e-01,9.782608747482299805e-01
6.000000000000000000e+00,9.743943065404891968e-02,1.282081753015518188e-01,9.671545028686523438e-01,9.554865360260009766e-01
7.000000000000000000e+00,8.386461436748504639e-02,6.992453336715698242e-02,9.729408025741577148e-01,9.710144996643066406e-01
8.000000000000000000e+00,1.042926535010337830e-01,1.209993809461593628e-01,9.680054187774658203e-01,9.679089188575744629e-01
9.000000000000000000e+00,8.399450033903121948e-02,1.225889846682548523e-01,9.714091420173645020e-01,9.554865360260009766e-01
1.000000000000000000e+01,9.135439991950988770e-02,2.510544061660766602e-01,9.717494845390319824e-01,9.202898740768432617e-01
1.100000000000000000e+01,7.193341851234436035e-02,5.281673371791839600e-02,9.780462980270385742e-01,9.813664555549621582e-01
1.200000000000000000e+01,6.881853193044662476e-02,8.498026430606842041e-02,9.783866405487060547e-01,9.792960882186889648e-01
